Open,High,Low,Close,Adj Close,Volume
74.35,75.61,73.06,74.22,65.4,882529
74.99,74.99,73.39,73.93,65.14,557027
73.43,73.55,71.66,72.56,63.94,494411
71.01,71.74,69.95,71.0,62.56,767945
70.88,71.6,69.11,69.4,61.15,767805
69.85,70.62,68.98,69.0,60.8,730000
68.95,70.71,68.67,69.97,61.65,561131
70.5,70.73,68.87,69.03,60.83,695855
68.58,68.58,66.37,67.29,59.29,950750
66.93,67.41,63.07,64.23,56.6,1885828
65.05,66.0,63.58,63.89,56.3,725084
64.81,65.66,64.51,65.41,57.64,771516
63.45,64.16,62.76,63.18,55.67,972259
63.1,65.3,62.89,64.53,56.86,746112
65.96,68.51,65.68,67.5,59.48,1001286
67.81,67.81,65.77,66.02,58.17,522367
64.49,66.46,63.55,66.12,58.26,538402
66.38,67.61,65.95,67.61,59.58,560151
67.34,68.11,65.91,66.23,58.36,672575
67.15,67.65,66.62,67.59,59.56,618713
68.2,68.2,66.33,66.76,58.83,477024
66.76,66.96,65.91,66.38,58.49,455333
65.9,66.32,64.47,65.06,57.33,847836
66.05,66.09,63.18,65.29,57.53,1155944
65.74,66.41,64.75,64.95,57.23,560592
64.95,65.38,60.8,60.94,53.7,1271788
61.2,61.4,58.17,60.12,52.98,1322284
60.89,62.91,60.46,62.34,54.93,785693
61.6,61.68,59.71,60.62,53.42,971574
61.0,62.97,60.88,62.97,55.49,851107
64.36,66.69,64.12,66.26,58.39,1017025
69.7,69.84,63.62,64.03,56.42,1435839
64.51,66.73,64.48,66.61,58.69,951238
67.13,67.66,65.66,66.89,58.94,812328
66.74,67.29,65.13,66.04,58.19,794283
66.16,67.57,66.16,67.19,59.21,457840
66.91,67.13,65.73,65.95,58.11,434372
65.66,65.85,63.75,64.38,56.73,614583
64.98,66.66,64.7,65.79,57.97,548651
66.74,67.24,65.93,66.92,58.97,490268
66.42,67.75,66.01,67.71,59.66,581705
67.67,69.29,67.52,69.29,61.06,439584
69.38,70.32,68.35,68.95,60.76,454849
68.94,70.35,68.77,69.85,61.55,441596
69.87,70.75,69.34,70.24,61.89,478290
69.9,70.38,68.99,69.79,61.5,428603
69.25,70.14,68.67,68.81,60.63,622218
68.8,70.04,68.66,69.53,61.27,469385
69.35,71.0,68.0,68.0,59.92,878614
68.48,70.82,68.37,70.78,62.37,667789
71.44,72.64,71.31,72.64,64.01,561355
72.17,72.17,71.55,72.07,63.51,396782
72.34,72.77,71.52,71.91,63.36,556656
72.8,74.15,71.4,73.75,64.99,928173
74.22,74.47,73.35,73.75,64.99,1479481
73.21,74.39,72.63,73.22,64.52,508121
72.53,74.58,71.77,74.58,65.72,845681
74.64,75.87,74.64,75.03,66.11,950340
73.8,74.44,73.21,73.79,65.02,785187
74.58,75.1,73.71,74.44,65.59,368120
74.8,76.06,74.79,75.95,66.92,650308
75.44,75.8,75.04,75.25,66.31,633689
74.15,74.99,73.85,74.95,66.04,887513
74.95,75.48,74.18,75.13,66.2,491539
73.8,74.27,72.69,72.95,64.28,712688
72.52,72.85,72.08,72.65,64.02,540428
72.8,73.6,71.69,72.19,63.61,533914
72.81,74.57,72.57,74.42,65.58,619660
74.44,75.2,73.49,74.31,65.48,379805
74.42,74.96,73.5,74.96,66.05,443434
75.53,78.4,75.42,78.16,68.87,903299
78.34,78.62,77.68,78.13,68.85,620759
78.06,78.25,77.22,77.87,68.62,558358
76.64,78.65,76.48,78.56,69.22,449505
78.89,79.35,78.45,79.26,69.84,728504
79.24,79.97,78.83,79.91,70.41,576370
79.9,79.99,78.01,78.6,69.26,796229
78.25,79.08,78.1,78.48,69.15,606017
78.48,79.25,78.14,78.88,69.51,519200
79.17,79.46,77.8,78.27,68.97,362067
78.0,79.13,77.42,78.72,69.36,302422
78.43,79.04,77.56,79.0,69.61,304396
78.19,78.54,77.58,77.59,68.37,642488
77.67,78.44,77.36,78.1,68.82,338249
78.05,78.17,77.14,77.4,68.2,582080
79.24,79.9,78.46,78.46,69.14,1115071
78.09,78.1,76.22,76.95,68.95,512802
77.01,77.02,75.53,76.49,69.53,494087
76.95,78.18,76.61,77.64,70.57,633876
77.85,78.45,77.49,77.97,70.87,530436
77.3,77.59,75.69,75.94,69.03,805898
75.85,77.12,74.64,75.78,68.88,679788
75.06,75.86,74.85,75.18,68.34,552382
75.25,76.24,74.33,74.49,67.71,568853
74.03,75.19,73.95,75.19,68.35,501040
74.91,74.98,73.49,74.01,67.28,569809
74.94,75.3,74.49,74.88,68.07,465619
74.99,75.51,74.22,75.01,68.18,457439
74.8,77.08,74.41,76.93,69.93,472925
77.62,77.71,76.13,76.16,69.23,485068
76.05,77.38,76.05,77.32,70.28,432768
77.0,77.41,76.32,76.5,69.54,656537
76.8,77.09,76.34,76.5,69.54,208823
76.68,77.37,76.28,76.89,69.89,546070
77.0,77.13,75.9,76.07,69.15,427726
76.04,76.17,75.32,75.63,68.75,390105
75.55,76.42,74.57,74.9,68.08,530552
75.0,75.23,74.49,74.49,67.71,278820
75.21,76.46,75.17,76.46,69.5,439625
76.11,76.41,75.66,75.72,68.83,327939
75.66,75.66,74.42,74.8,67.99,363053
74.25,74.33,72.42,72.7,66.08,627543
71.86,72.2,71.27,71.4,64.9,612874
70.82,71.36,70.03,70.59,64.17,583376
71.35,71.97,71.09,71.29,64.8,526670
70.14,70.94,69.92,70.69,64.26,697860
71.12,71.35,70.74,71.09,64.62,651341
72.5,74.55,72.27,73.82,67.1,550337
73.46,74.27,73.4,73.7,66.99,399569
74.62,75.07,74.29,74.35,67.58,451721
74.6,76.42,74.54,75.75,68.86,479253
68.01,73.0,68.0,71.73,65.2,1412796
70.82,70.97,65.73,65.97,59.97,1548296
67.22,68.13,66.89,67.65,61.49,753676
68.45,68.69,67.88,68.35,62.13,527102
67.3,67.93,66.57,67.47,61.33,823437
67.62,68.9,67.0,68.34,62.12,660370
69.2,69.3,67.43,67.5,61.36,386219
66.96,67.13,65.95,66.25,60.22,492719
65.48,66.36,65.12,65.86,59.87,572023
66.24,67.38,66.16,66.47,60.42,523839
66.17,68.68,66.17,68.54,62.3,525588
69.46,70.97,69.32,70.9,64.45,596303
70.5,72.18,70.5,71.71,65.18,568035
71.57,72.13,71.11,71.49,64.98,461824
72.47,72.62,71.62,71.99,65.44,663329
71.79,71.88,70.65,71.4,64.9,594049
71.65,72.19,71.21,71.67,65.15,432687
71.76,72.13,70.74,71.18,64.7,316841
71.48,72.3,70.72,72.11,65.55,363065
72.49,72.69,70.96,71.52,65.01,386724
71.6,71.89,71.01,71.36,64.87,391643
71.09,72.03,70.54,71.42,64.92,520290
71.4,72.17,70.97,71.83,65.29,309823
72.29,73.15,72.29,72.68,66.07,540078
72.69,73.73,72.5,73.4,66.72,837217
74.44,76.66,74.32,75.74,68.85,998249
76.2,76.34,74.63,75.05,68.22,385870
74.87,75.02,73.22,73.22,66.56,482077
73.3,73.42,72.78,73.02,66.38,533719
73.35,74.08,73.14,73.6,66.9,537281
73.85,74.9,73.67,74.71,67.91,472249
75.5,76.1,75.32,75.77,68.87,331317
75.91,77.42,75.53,77.42,70.37,433718
77.46,77.86,77.0,77.85,70.77,458033
78.37,78.87,77.81,78.79,71.62,545078
78.68,80.08,78.67,79.94,72.67,625132
80.14,82.01,80.02,81.5,74.08,651441
81.21,81.46,80.57,81.14,73.76,399692
80.93,81.16,79.75,79.95,72.67,551000
80.51,80.99,80.14,80.5,73.17,441476
80.7,80.74,79.66,80.4,73.08,626774
80.28,81.97,80.13,80.5,73.17,369141
80.72,81.53,80.39,81.45,74.04,434999
81.1,82.46,80.6,82.28,74.79,402147
81.64,82.48,81.52,82.1,74.63,329386
82.05,83.08,81.74,83.02,75.47,322187
82.25,82.63,81.5,82.35,74.86,250704
82.76,83.51,82.69,83.23,75.66,344663
83.02,84.08,82.77,83.27,75.69,799629
83.42,84.22,82.93,83.42,75.83,624826
82.75,82.77,80.98,82.55,75.04,832081
82.51,83.17,82.38,82.81,75.27,533149
82.7,83.08,81.92,82.31,74.82,398107
82.4,83.3,82.02,83.21,75.64,340206
83.33,83.58,81.91,82.24,74.76,477703
81.77,82.0,79.03,79.26,72.05,809772
78.27,78.96,77.47,78.96,71.77,619630
79.14,79.41,78.33,78.55,71.4,488682
78.97,79.78,78.78,79.31,72.09,542990
79.37,80.95,79.1,80.82,73.47,643503
80.79,81.19,79.73,80.46,73.14,1326687
80.85,81.67,80.62,81.33,73.93,497911
80.34,81.51,80.21,80.7,73.36,532624
81.34,81.69,81.05,81.64,74.21,497916
82.22,84.94,82.18,84.5,76.81,798125
84.58,84.73,83.81,84.05,76.4,437221
83.53,83.53,82.46,82.82,75.28,623304
83.05,83.23,82.33,83.0,75.45,623953
83.2,85.04,83.2,84.66,76.96,573369
85.27,85.41,83.4,83.62,76.01,749821
82.1,84.2,82.02,84.09,76.44,742961
84.02,85.01,83.89,84.67,76.97,684374
84.23,84.67,83.8,84.0,76.36,382831
84.33,84.99,83.88,84.8,77.08,454553
84.92,84.95,83.84,84.03,76.38,503770
83.88,85.28,83.68,85.2,77.45,427712
85.15,85.38,84.48,84.58,76.88,421923
84.44,85.0,84.02,84.59,76.89,536971
84.11,84.11,82.97,83.32,75.74,659994
83.71,85.27,83.65,84.88,77.16,347884
84.58,85.08,84.2,84.92,77.19,345956
84.65,86.2,84.65,86.04,78.21,528636
85.83,86.42,85.23,86.42,78.56,391430
86.52,86.56,84.99,85.44,77.67,511033
85.32,86.31,85.23,85.92,78.1,502628
86.31,87.17,86.1,86.25,78.4,341287
86.4,86.86,85.52,85.61,77.82,432643
85.38,85.47,84.71,85.37,77.6,358146
85.08,85.53,84.54,84.9,77.17,424835
84.32,86.34,83.79,86.22,78.37,577869
86.07,86.77,85.98,86.16,78.32,567449
86.4,86.66,84.86,85.1,77.36,425791
84.5,84.98,84.23,84.58,76.88,557768
84.25,84.45,83.66,84.07,76.42,529640
83.75,84.43,83.39,84.0,76.36,616495
85.52,86.45,85.52,86.41,78.55,657440
86.72,88.6,86.48,88.23,80.2,752066
84.37,92.47,84.01,92.13,83.75,1701544
92.15,94.59,90.43,91.09,82.8,1270149
89.63,90.61,86.77,87.12,79.19,1160520
87.66,88.51,86.55,86.95,79.04,749305
87.45,88.54,87.15,88.06,80.05,670332
87.32,88.01,84.58,84.58,76.88,1057920
84.0,84.4,83.54,84.08,76.43,859635
84.76,84.93,83.6,84.0,76.36,663871
84.14,84.71,83.02,84.32,76.65,576893
85.32,85.42,84.62,84.82,77.1,509265
85.09,85.2,83.31,84.15,76.49,558729
84.15,84.73,83.34,84.0,76.36,417032
83.09,84.18,82.39,84.13,76.47,613828
84.0,84.0,82.77,83.23,75.66,550727
83.27,84.49,82.99,84.07,76.42,498353
83.99,85.31,83.84,84.61,76.91,1264097
84.12,84.21,83.2,83.32,75.74,493837
83.0,83.97,82.5,83.65,76.04,531839
83.44,85.12,83.38,84.25,76.58,682237
84.12,84.36,83.32,84.03,76.38,553279
84.95,86.99,84.48,86.77,78.87,884335
87.0,88.83,86.67,88.36,80.32,909797
88.06,88.64,87.84,88.01,80.0,468525
88.04,88.35,87.08,87.82,79.83,422347
87.91,88.25,87.13,87.6,79.63,459497
87.51,87.99,87.01,87.78,79.79,576103
87.81,88.91,86.65,87.36,79.41,668560
87.14,87.76,86.37,87.29,79.35,728581
87.62,87.65,86.83,87.37,79.42,459134
87.27,87.68,86.14,86.68,78.79,609063
86.42,87.08,86.36,87.0,79.08,396969
86.76,87.39,86.65,86.73,78.84,435838
86.57,87.87,86.55,87.4,79.45,291019
87.58,87.82,87.22,87.68,79.7,140351
87.55,88.19,87.49,87.79,79.8,231513
87.4,88.31,87.3,88.31,80.27,215937
88.36,88.98,88.25,88.63,80.56,272330
88.56,89.88,88.27,89.51,81.36,215367
89.37,90.73,88.46,88.5,80.45,545459
88.43,88.5,86.58,86.72,78.83,559183
86.48,87.17,86.03,86.86,78.96,373161
86.79,87.07,86.19,86.93,79.02,281121
86.8,87.07,85.82,85.91,78.09,485441
85.96,86.21,85.65,85.9,78.08,529739
85.72,86.42,85.69,86.0,78.17,612872
85.85,86.46,85.7,86.01,78.18,384434
86.34,87.22,86.02,86.83,78.93,407100
86.59,86.84,85.96,85.96,78.14,354771
85.63,85.65,84.03,84.88,77.16,700603
85.04,85.38,84.54,85.14,77.39,493917
85.19,86.14,84.93,85.7,77.9,433461
85.01,86.86,84.7,86.86,78.96,805681
86.38,87.0,86.16,86.8,78.9,355667
86.96,87.86,86.78,87.86,79.86,551434
88.73,91.79,88.73,91.5,83.17,1292226
92.01,92.32,90.55,90.78,82.52,709418
90.78,91.77,90.76,91.18,82.88,423016
90.76,91.05,89.72,90.01,81.82,503590
89.81,90.14,89.07,89.14,81.03,469593
89.77,91.07,89.46,90.25,82.04,588944
90.07,90.81,89.97,90.73,82.47,338026
90.9,90.99,89.83,90.01,81.82,591296
89.7,90.41,88.48,88.89,80.8,517806
89.0,89.46,87.9,87.96,79.96,522287
88.13,88.3,86.68,87.15,79.22,463464
87.36,88.09,86.97,87.81,79.82,463760
89.3,90.73,88.95,89.27,81.15,699048
89.72,90.72,89.3,90.25,82.04,483793
87.55,89.9,86.06,86.74,78.85,1748173
86.79,87.25,86.06,86.67,78.78,782360
86.37,86.87,85.34,85.66,77.86,759901
85.5,86.0,84.89,85.44,77.67,657514
85.9,86.04,85.45,85.6,77.81,334454
85.5,88.04,85.35,87.65,79.67,895437
87.73,89.12,87.73,88.57,80.51,813360
88.38,88.45,86.05,86.17,78.33,747569
86.0,86.45,84.27,85.79,77.98,777944
86.17,87.68,85.74,87.49,79.53,692934
87.45,88.59,87.42,88.21,80.18,730818
88.75,91.5,88.65,91.12,82.83,857399
90.94,91.99,90.56,90.67,82.42,641448
90.0,90.61,89.8,90.49,82.26,471002
90.0,90.63,89.49,89.99,81.8,293653
89.9,90.46,89.64,89.86,81.68,331749
89.2,89.9,88.78,89.23,81.11,410797
88.88,89.93,88.54,89.37,81.24,433185
89.66,89.79,88.36,88.69,80.62,397490
88.46,89.52,88.46,89.12,81.01,337623
89.03,89.55,88.74,89.55,81.4,419492
89.83,90.8,89.74,90.43,82.2,518055
91.0,91.32,87.7,88.85,80.76,1472995
88.52,89.5,88.25,89.29,81.16,1124362
88.99,89.72,88.86,89.39,81.26,330746
89.43,89.51,87.59,87.74,79.76,681043
87.03,87.03,85.68,86.72,78.83,667060
86.65,88.24,86.38,88.13,80.11,526548
88.25,88.59,86.93,87.39,79.44,638002
86.5,86.55,85.44,86.12,78.28,614697
86.69,86.92,85.92,86.65,78.76,569747
86.93,87.89,86.7,87.7,79.72,552680
87.89,88.62,87.72,87.98,79.97,439745
88.03,88.15,86.65,87.76,79.77,666849
88.24,89.04,87.58,87.58,79.61,470710
87.5,88.04,87.17,87.59,79.62,323894
87.72,88.52,87.0,87.48,79.52,566367
86.96,87.66,86.34,87.06,79.14,461397
86.75,88.29,86.68,88.04,80.03,483484
88.3,88.3,87.46,87.75,79.76,295797
87.53,87.88,86.83,87.49,79.53,426016
87.44,87.71,86.32,86.59,78.71,499573
86.49,86.77,85.86,86.63,78.75,327081
86.95,86.95,84.74,84.74,77.03,485684
84.65,85.57,84.52,84.97,77.24,409494
84.5,85.02,83.6,84.68,76.97,661962
84.94,85.58,84.23,84.44,76.76,604201
86.1,88.15,85.73,88.03,80.02,1098171
87.94,88.36,87.13,87.4,79.45,423988
87.54,87.97,87.33,87.72,79.74,415528
87.34,87.5,86.7,86.93,79.02,491741
86.98,87.47,84.84,85.0,77.27,669271
85.42,86.97,84.48,86.97,79.06,892164
86.97,87.0,85.92,86.94,79.03,592596
87.28,88.58,86.89,88.34,80.3,801646
88.07,89.83,88.07,89.4,81.26,1013875
89.73,89.85,88.58,88.95,80.86,591932
89.42,90.12,89.21,89.69,81.53,619229
87.91,88.95,87.25,88.6,80.54,1170612
87.68,87.7,85.27,86.18,79.78,879785
86.61,86.69,85.39,85.7,79.33,583903
86.45,86.45,85.03,85.73,79.36,447521
85.85,85.85,85.23,85.57,79.21,537585
85.24,85.72,82.75,83.1,76.93,793267
83.02,83.16,80.9,82.1,76.0,1564203
82.5,83.27,82.34,83.13,76.95,941708
83.48,84.43,83.09,83.64,77.43,662116
83.49,84.18,83.09,83.52,77.32,483199
83.3,83.31,82.48,83.26,77.08,455610
83.58,83.77,82.5,82.72,76.58,363563
82.53,82.85,81.92,82.65,76.51,321071
82.42,83.0,82.05,82.56,76.43,243882
82.47,83.63,82.09,83.21,77.03,631157
83.39,83.92,82.68,82.88,76.72,783172
82.9,83.48,82.7,83.32,77.13,308884
83.95,84.38,83.35,83.74,77.52,376369
83.74,83.74,83.74,83.74,77.52,0
83.64,83.64,82.15,82.28,76.17,691420
82.05,82.32,81.4,81.59,75.53,604599
82.0,82.62,81.45,81.88,75.8,432680
83.49,84.95,83.08,84.44,78.17,1268289
85.93,85.93,84.92,85.1,78.78,818257
86.6,87.57,86.43,86.5,80.07,1009950
86.84,87.44,86.48,86.48,80.06,742361
86.52,86.73,85.03,85.52,79.17,670704
86.4,86.85,86.12,86.25,79.84,1722928
86.82,87.36,86.4,86.9,80.44,388476
87.36,87.36,86.73,86.73,80.29,499301
86.89,87.19,86.07,86.83,80.38,411246
86.83,86.83,85.58,85.78,79.41,857708
85.63,86.01,85.03,85.82,79.45,453113
86.02,86.27,85.59,85.84,79.46,328882
85.87,86.15,85.07,85.27,78.94,454805
